file_name,image_id_a,image_id_b,n_batches_for_file,mask_area_a_px,mask_area_b_px,n_anns_a,n_anns_b,iou
20140509195814Mh.jpeg,010103-20140509195814Mh,010101-20140509195814Mh,3,4342,3386,6,7,0.4068814855270344
20180306081810Th.jpeg,010402-20180306081810Th,010401-20180306081810Th,3,5696,4670,2,4,0.40727667662231876
20140205180154Bh.jpeg,010403-20140205180154Bh,010402-20140205180154Bh,3,16045,22888,11,17,0.40831976849339846
20150423120034Ch.jpeg,010402-20150423120034Ch,010401-20150423120034Ch,3,22048,26210,16,15,0.409280728908098
20111029063154Uh.jpeg,010102-20111029063154Uh,010101-20111029063154Uh,2,19358,13622,10,8,0.41024544599332935
20160229151254Bh.jpeg,010403-20160229151254Bh,010401-20160229151254Bh,3,12946,10067,6,6,0.4112344391978905
20110727063234Lh.jpeg,050101-20110727063234Lh,050102-20110727063234Lh,3,6335,14255,5,5,0.41124057573680606
20110914063134Lh.jpeg,010103-20110914063134Lh,010102-20110914063134Lh,3,16798,30705,18,22,0.4126446010646207
20121109103634Ch.jpeg,010101-20121109103634Ch,010102-20121109103634Ch,3,20418,20764,10,9,0.41348893083919686
20110502063154Uh.jpeg,050101-20110502063154Uh,050103-20110502063154Uh,3,15139,18912,12,10,0.4143130088054494
20131107043054Uh.jpeg,010402-20131107043054Uh,010403-20131107043054Uh,3,18665,14777,10,7,0.4146362098138748
20160810234034Lh.jpeg,010401-20160810234034Lh,010402-20160810234034Lh,3,14856,23570,5,7,0.41469700316618807
20130319144654Bh.jpeg,010403-20130319144654Bh,010402-20130319144654Bh,3,7020,13445,4,8,0.4153814233349471
20130221063134Lh.jpeg,010401-20130221063134Lh,010402-20130221063134Lh,3,3578,7525,2,4,0.4167410999106801
20160810234034Lh.jpeg,010401-20160810234034Lh,010403-20160810234034Lh,3,14856,15783,5,8,0.41794705664568677
20110306082634Lh.jpeg,010401-20110306082634Lh,010402-20110306082634Lh,3,7355,14208,6,7,0.4187117573524574
20150112081954Uh.jpeg,010101-20150112081954Uh,010102-20150112081954Uh,3,33767,40957,16,7,0.4193670934164039
20171008144250Bh.jpeg,010101-20171008144250Bh,010102-20171008144250Bh,2,4507,3351,3,1,0.4194364161849711
20120403164114Mh.jpeg,020403-20120403164114Mh,020401-20120403164114Mh,2,9356,11019,3,5,0.4210489608034593
20121007131134Ch.jpeg,050103-20121007131134Ch,050101-20121007131134Ch,2,5758,11671,3,5,0.4225432582435521
20151119133734Ch.jpeg,010301-20151119133734Ch,010302-20151119133734Ch,2,16164,25481,9,8,0.42278783737615305
20131225065154Uh.jpeg,050101-20131225065154Uh,050103-20131225065154Uh,3,12050,8712,8,6,0.42429855251423476
20171029150150Bh.jpeg,010401-20171029150150Bh,010402-20171029150150Bh,3,10153,15603,5,6,0.42471512335435335
20160617133654Bh.jpeg,050103-20160617133654Bh,050101-20160617133654Bh,3,6728,9135,5,5,0.4252470799640611
20150221155154Bh.jpeg,010403-20150221155154Bh,010402-20150221155154Bh,3,17297,23168,7,12,0.4254764504878994
20171115170950Bh.jpeg,050103-20171115170950Bh,050101-20171115170950Bh,2,1655,2975,2,3,0.42549261083743845
20160213153054Bh.jpeg,010401-20160213153054Bh,010402-20160213153054Bh,3,13414,22521,6,8,0.42559606458523425
20150125172714Mh.jpeg,010401-20150125172714Mh,010402-20150125172714Mh,3,5383,11518,3,5,0.42600404994937563
20160920230134Lh.jpeg,010402-20160920230134Lh,010401-20160920230134Lh,3,12971,11210,8,4,0.42694441166056885
